State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Row,Col
Minnesota,MN,11,HARRY S TRUMAN,57.2,692966,THOMAS E. DEWEY,39.9,483617,1948,3,6
Illinois,IL,28,HARRY S TRUMAN,50.1,1994715,THOMAS E. DEWEY,49.2,1961103,1948,3,7
Missouri,MO,15,HARRY S TRUMAN,58.1,917315,THOMAS E. DEWEY,41.5,655039,1948,5,6
Wisconsin,WI,12,HARRY S TRUMAN,50.7,647310,THOMAS E. DEWEY,46.3,590959,1948,3,8
Iowa,IA,10,HARRY S TRUMAN,50.3,522380,THOMAS E. DEWEY,47.6,494018,1948,4,6
Ohio,OH,25,HARRY S TRUMAN,49.5,1452791,THOMAS E. DEWEY,49.2,1445684,1948,4,8
Rhode Island,RI,4,HARRY S TRUMAN,57.6,188736,THOMAS E. DEWEY,41.4,135787,1948,3,11
Massachusetts,MA,16,HARRY S TRUMAN,54.7,1151788,THOMAS E. DEWEY,43.2,909370,1948,3,12
Kentucky,KY,11,HARRY S TRUMAN,56.7,466756,THOMAS E. DEWEY,41.5,341210,1948,5,7
West Virginia,WV,8,HARRY S TRUMAN,57.3,429188,THOMAS E. DEWEY,42.2,316251,1948,5,8
Virginia,VA,11,HARRY S TRUMAN,47.9,200786,THOMAS E. DEWEY,41,172070,1948,5,9
Arkansas,AR,9,HARRY S TRUMAN,61.7,149659,THOMAS E. DEWEY,21,50959,1948,6,6
North Carolina,NC,14,HARRY S TRUMAN,58,459070,THOMAS E. DEWEY,32.7,258572,1948,6,8
Tennessee,TN,11,HARRY S TRUMAN,49.1,270402,THOMAS E. DEWEY,36.9,202914,1948,6,7
Oklahoma,OK,10,HARRY S TRUMAN,62.7,452782,THOMAS E. DEWEY,37.3,268817,1948,7,5
Georgia,GA,12,HARRY S TRUMAN,60.8,254646,THOMAS E. DEWEY,18.3,76691,1948,7,9
Texas,TX,23,HARRY S TRUMAN,65.4,750700,THOMAS E. DEWEY,24.6,282240,1948,8,5
Florida,FL,8,HARRY S TRUMAN,48.8,281988,THOMAS E. DEWEY,33.6,194280,1948,8,10
Washington,WA,8,HARRY S TRUMAN,52.6,476165,THOMAS E. DEWEY,42.7,386314,1948,3,2
Montana,MT,4,HARRY S TRUMAN,53.1,119071,THOMAS E. DEWEY,43.1,96770,1948,3,4
Idaho,ID,4,HARRY S TRUMAN,50,107370,THOMAS E. DEWEY,47.3,101514,1948,3,3
Nevada,NV,3,HARRY S TRUMAN,50.4,31291,THOMAS E. DEWEY,47.3,29357,1948,4,3
California,CA,25,HARRY S TRUMAN,47.6,1913134,THOMAS E. DEWEY,47.1,1895269,1948,5,2
Utah,UT,4,HARRY S TRUMAN,54,149151,THOMAS E. DEWEY,45,124402,1948,5,3
Arizona,AZ,4,HARRY S TRUMAN,53.8,95251,THOMAS E. DEWEY,43.8,77597,1948,6,3
New Mexico,NM,4,HARRY S TRUMAN,56.4,105464,THOMAS E. DEWEY,42.9,80303,1948,6,4
Wyoming,WY,3,HARRY S TRUMAN,51.6,52354,THOMAS E. DEWEY,47.3,47947,1948,4,4
Colorado,CO,6,HARRY S TRUMAN,51.9,267288,THOMAS E. DEWEY,46.5,239714,1948,5,4
South Carolina,SC,8,HARRY S TRUMAN,24.1,34423,THOMAS E. DEWEY,3.8,5386,1948,6,9
Mississippi,MS,9,HARRY S TRUMAN,10.1,19384,THOMAS E. DEWEY,2.6,5043,1948,7,7
Louisiana,LA,10,HARRY S TRUMAN,32.7,136344,THOMAS E. DEWEY,17.5,72657,1948,7,6
Alabama,AL,11,HARRY S TRUMAN,1.2,2607,THOMAS E. DEWEY,19,40930,1948,7,8
Michigan,MI,19,HARRY S TRUMAN,47.6,1003448,THOMAS E. DEWEY,49.2,1038595,1948,3,9
North Dakota,ND,4,HARRY S TRUMAN,43.4,95812,THOMAS E. DEWEY,52.2,115139,1948,3,5
South Dakota,SD,4,HARRY S TRUMAN,47,117653,THOMAS E. DEWEY,51.8,129651,1948,4,5
Indiana,IN,13,HARRY S TRUMAN,48.8,807831,THOMAS E. DEWEY,49.6,821079,1948,4,7
Nebraska,NE,6,HARRY S TRUMAN,45.8,224165,THOMAS E. DEWEY,54.2,264774,1948,5,5
Kansas,KS,8,HARRY S TRUMAN,44.6,351902,THOMAS E. DEWEY,53.6,423039,1948,6,5
New Hampshire,NH,4,HARRY S TRUMAN,46.7,107995,THOMAS E. DEWEY,52.4,121299,1948,2,12
New York,NY,47,HARRY S TRUMAN,45,2780204,THOMAS E. DEWEY,46,2841163,1948,3,10
Pennsylvania,PA,35,HARRY S TRUMAN,46.9,1752426,THOMAS E. DEWEY,50.9,1902197,1948,4,9
New Jersey,NJ,16,HARRY S TRUMAN,45.9,895455,THOMAS E. DEWEY,50.3,981124,1948,4,10
Connecticut,CT,8,HARRY S TRUMAN,47.9,423297,THOMAS E. DEWEY,49.5,437754,1948,4,11
Delaware,DE,3,HARRY S TRUMAN,48.8,67813,THOMAS E. DEWEY,50,69588,1948,6,10
Maine,ME,5,HARRY S TRUMAN,42.3,111916,THOMAS E. DEWEY,56.7,150234,1948,1,12
Vermont,VT,3,HARRY S TRUMAN,36.9,45557,THOMAS E. DEWEY,61.5,75926,1948,2,11
Maryland,MD,8,HARRY S TRUMAN,48,286521,THOMAS E. DEWEY,49.4,294814,1948,5,10
Oregon,OR,6,HARRY S TRUMAN,46.4,243147,THOMAS E. DEWEY,49.8,260904,1948,4,2
