State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,Year,Col,Row
Minnesota,MN,10,AL GORE,47.9,1168266,GEORGE W. BUSH,45.5,1109659,2000,6,3
Wisconsin,WI,11,AL GORE,47.8,1242987,GEORGE W. BUSH,47.6,1237279,2000,8,3
Michigan,MI,18,AL GORE,51.3,2170418,GEORGE W. BUSH,46.1,1953139,2000,9,3
Illinois,IL,22,AL GORE,54.6,2589026,GEORGE W. BUSH,42.6,2019421,2000,7,3
Iowa,IA,7,AL GORE,48.5,638517,GEORGE W. BUSH,48.2,634373,2000,6,4
Maine,ME,4,AL GORE,49.1,319951,GEORGE W. BUSH,44,286616,2000,12,1
Vermont,VT,3,AL GORE,50.6,149022,GEORGE W. BUSH,40.7,119775,2000,11,2
New York,NY,33,AL GORE,60.2,4107697,GEORGE W. BUSH,35.2,2403374,2000,10,3
Rhode Island,RI,4,AL GORE,61,249508,GEORGE W. BUSH,31.9,130555,2000,11,3
Massachusetts,MA,12,AL GORE,59.8,1616487,GEORGE W. BUSH,32.5,878502,2000,12,3
Pennsylvania,PA,23,AL GORE,50.6,2485967,GEORGE W. BUSH,46.4,2281127,2000,9,4
New Jersey,NJ,15,AL GORE,56.1,1788850,GEORGE W. BUSH,40.3,1284173,2000,10,4
Connecticut,CT,8,AL GORE,55.9,816015,GEORGE W. BUSH,38.4,561094,2000,11,4
Dist. of Col.,DC,2,AL GORE,85.2,171923,GEORGE W. BUSH,9,18073,2000,11,5
Delaware,DE,3,AL GORE,55,180068,GEORGE W. BUSH,41.9,137288,2000,10,6
Maryland,MD,10,AL GORE,56.5,1140782,GEORGE W. BUSH,40.3,813797,2000,10,5
Washington,WA,11,AL GORE,50.2,1247652,GEORGE W. BUSH,44.6,1108864,2000,2,3
Oregon,OR,7,AL GORE,47,720342,GEORGE W. BUSH,46.5,713577,2000,2,4
California,CA,54,AL GORE,53.4,5861203,GEORGE W. BUSH,41.7,4567429,2000,2,5
New Mexico,NM,5,AL GORE,47.9,286783,GEORGE W. BUSH,47.8,286417,2000,4,6
Hawaii,HI,4,AL GORE,55.8,205286,GEORGE W. BUSH,37.5,137845,2000,1,8
Ohio,OH,21,AL GORE,46.4,2183628,GEORGE W. BUSH,50,2350363,2000,8,4
Missouri,MO,11,AL GORE,47.1,1111138,GEORGE W. BUSH,50.4,1189924,2000,6,5
North Dakota,ND,3,AL GORE,33.1,95284,GEORGE W. BUSH,60.7,174852,2000,5,3
South Dakota,SD,3,AL GORE,37.6,118804,GEORGE W. BUSH,60.3,190700,2000,5,4
Indiana,IN,12,AL GORE,41,901980,GEORGE W. BUSH,56.6,1245836,2000,7,4
Nebraska,NE,5,AL GORE,33.3,231780,GEORGE W. BUSH,62.2,433862,2000,5,5
Kansas,KS,6,AL GORE,37.2,399276,GEORGE W. BUSH,58,622332,2000,5,6
New Hampshire,NH,4,AL GORE,46.8,266348,GEORGE W. BUSH,48.1,273559,2000,12,2
Kentucky,KY,8,AL GORE,41.4,638898,GEORGE W. BUSH,56.5,872492,2000,7,5
West Virginia,WV,5,AL GORE,45.6,295497,GEORGE W. BUSH,51.9,336475,2000,8,5
Arkansas,AR,6,AL GORE,45.9,422768,GEORGE W. BUSH,51.3,472940,2000,6,6
Tennessee,TN,11,AL GORE,47.3,981720,GEORGE W. BUSH,51.1,1061949,2000,7,6
Louisiana,LA,9,AL GORE,44.9,792344,GEORGE W. BUSH,52.6,927871,2000,6,7
Florida,FL,25,AL GORE,48.8,2912253,GEORGE W. BUSH,48.8,2912790,2000,10,8
Virginia,VA,13,AL GORE,44.4,1217290,GEORGE W. BUSH,52.5,1437490,2000,9,5
North Carolina,NC,14,AL GORE,43.2,1257692,GEORGE W. BUSH,56,1631163,2000,8,6
South Carolina,SC,8,AL GORE,40.9,565561,GEORGE W. BUSH,56.8,785937,2000,9,6
Oklahoma,OK,8,AL GORE,38.4,474276,GEORGE W. BUSH,60.3,744337,2000,5,7
Mississippi,MS,7,AL GORE,40.7,404614,GEORGE W. BUSH,57.6,572844,2000,7,7
Alabama,AL,9,AL GORE,41.6,692611,GEORGE W. BUSH,56.5,941173,2000,8,7
Georgia,GA,13,AL GORE,43,1116230,GEORGE W. BUSH,54.7,1419720,2000,9,7
Texas,TX,32,AL GORE,38,2433746,GEORGE W. BUSH,59.3,3799639,2000,5,8
Nevada,NV,4,AL GORE,46,279978,GEORGE W. BUSH,49.5,301575,2000,3,4
Arizona,AZ,8,AL GORE,44.7,685341,GEORGE W. BUSH,51,781652,2000,3,6
Alaska,AK,3,AL GORE,27.7,79004,GEORGE W. BUSH,58.6,167398,2000,1,1
Montana,MT,3,AL GORE,33.4,137126,GEORGE W. BUSH,58.4,240178,2000,4,3
Idaho,ID,4,AL GORE,27.6,138637,GEORGE W. BUSH,67.2,336937,2000,3,3
Wyoming,WY,3,AL GORE,27.7,60481,GEORGE W. BUSH,67.8,147947,2000,4,4
Colorado,CO,8,AL GORE,42.4,738227,GEORGE W. BUSH,50.8,883748,2000,4,5
Utah,UT,5,AL GORE,26.3,203053,GEORGE W. BUSH,66.8,515096,2000,3,5
